Section Name,Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Bulk density (GRA),Instrument,Instrument group,Text ID,Test No.,Bulkier Density (GRA),Comments
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,0,0,0,-0.77,GRA2,STMSL,SECT2109181,16803341,,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,2.5,0.025,0.025,0.752,GRA2,STMSL,SECT2109181,16803341,0.752,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,5,0.05,0.05,0.765,GRA2,STMSL,SECT2109181,16803341,0.765,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,7.5,0.075,0.075,0.751,GRA2,STMSL,SECT2109181,16803341,0.751,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,10,0.1,0.099,0.766,GRA2,STMSL,SECT2109181,16803341,0.766,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,12.6,0.126,0.125,0.733,GRA2,STMSL,SECT2109181,16803341,0.733,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,15.1,0.151,0.15,0.737,GRA2,STMSL,SECT2109181,16803341,0.737,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,17.6,0.176,0.175,0.704,GRA2,STMSL,SECT2109181,16803341,0.704,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,20.1,0.201,0.2,0.708,GRA2,STMSL,SECT2109181,16803341,0.708,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,22.6,0.226,0.224,0.732,GRA2,STMSL,SECT2109181,16803341,0.732,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,25.1,0.251,0.249,0.68,GRA2,STMSL,SECT2109181,16803341,0.68,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,27.6,0.276,0.274,0.731,GRA2,STMSL,SECT2109181,16803341,0.731,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,30.1,0.301,0.299,0.713,GRA2,STMSL,SECT2109181,16803341,0.713,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,32.6,0.326,0.324,0.722,GRA2,STMSL,SECT2109181,16803341,0.722,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,35.1,0.351,0.349,0.701,GRA2,STMSL,SECT2109181,16803341,0.701,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,37.6,0.376,0.373,0.701,GRA2,STMSL,SECT2109181,16803341,0.701,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,40.2,0.402,0.399,0.689,GRA2,STMSL,SECT2109181,16803341,0.689,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,42.7,0.427,0.424,0.669,GRA2,STMSL,SECT2109181,16803341,0.669,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,45.2,0.452,0.449,0.676,GRA2,STMSL,SECT2109181,16803341,0.676,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,47.7,0.477,0.474,0.659,GRA2,STMSL,SECT2109181,16803341,0.659,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,50.2,0.502,0.499,0.72,GRA2,STMSL,SECT2109181,16803341,0.72,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,52.7,0.527,0.523,0.64,GRA2,STMSL,SECT2109181,16803341,0.64,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,55.2,0.552,0.548,0.679,GRA2,STMSL,SECT2109181,16803341,0.679,
