leg site hole core coreType Section TopOffset BottomOffset Depth cropped_asman_id
202 1239 B 1 H 1 0.000000 0.000000 0.000000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8360
202 1239 B 1 H 2 0.000000 0.000000 1.500000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8370
202 1239 B 1 H 3 0.000000 0.000000 3.000000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8380
202 1239 B 1 H 4 0.000000 0.000000 4.500000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8390
202 1239 B 1 H 5 0.000000 0.000000 6.000000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8400
202 1239 B 1 H CC 0.000000 0.000000 7.490000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8410
202 1239 B 2 H 1 0.000000 0.000000 7.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8420
202 1239 B 2 H 2 0.000000 0.000000 9.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8430
202 1239 B 2 H 3 0.000000 0.000000 10.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8440
202 1239 B 2 H 4 0.000000 0.000000 12.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8450
202 1239 B 2 H 5 0.000000 0.000000 13.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8460
202 1239 B 2 H 6 0.000000 0.000000 15.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8470
202 1239 B 2 H 7 0.000000 0.000000 16.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8480
202 1239 B 3 H 1 0.000000 0.000000 17.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8500
202 1239 B 2 H CC 0.000000 0.000000 17.400000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8490
202 1239 B 3 H 2 0.000000 0.000000 18.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8510
202 1239 B 3 H 3 0.000000 0.000000 20.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8520
202 1239 B 3 H 4 0.000000 0.000000 21.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8530
202 1239 B 3 H 5 0.000000 0.000000 23.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8540
202 1239 B 3 H 6 0.000000 0.000000 24.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8550
202 1239 B 3 H 7 0.000000 0.000000 26.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8560
202 1239 B 4 H 1 0.000000 0.000000 26.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8580
202 1239 B 3 H CC 0.000000 0.000000 26.930000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8570
202 1239 B 4 H 2 0.000000 0.000000 28.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8590
202 1239 B 4 H 3 0.000000 0.000000 29.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8600
202 1239 B 4 H 4 0.000000 0.000000 31.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8610
202 1239 B 4 H 5 0.000000 0.000000 32.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8620
202 1239 B 4 H 6 0.000000 0.000000 34.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8630
202 1239 B 4 H 7 0.000000 0.000000 35.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8640
202 1239 B 5 H 1 0.000000 0.000000 36.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8660
202 1239 B 4 H CC 0.000000 0.000000 36.500000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8650
202 1239 B 5 H 2 0.000000 0.000000 37.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8670
202 1239 B 5 H 3 0.000000 0.000000 39.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8680
202 1239 B 5 H 4 0.000000 0.000000 40.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8690
202 1239 B 5 H 5 0.000000 0.000000 42.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8700
202 1239 B 5 H 6 0.000000 0.000000 43.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8710
202 1239 B 5 H 7 0.000000 0.000000 45.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8720
202 1239 B 6 H 1 0.000000 0.000000 45.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8740
202 1239 B 5 H CC 0.000000 0.000000 45.960000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8730
202 1239 B 6 H 2 0.000000 0.000000 47.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8750
202 1239 B 6 H 3 0.000000 0.000000 48.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8760
202 1239 B 6 H 4 0.000000 0.000000 50.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8770
202 1239 B 6 H 5 0.000000 0.000000 51.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8780
202 1239 B 6 H 6 0.000000 0.000000 53.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8790
202 1239 B 6 H 7 0.000000 0.000000 54.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8800
202 1239 B 7 H 1 0.000000 0.000000 55.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8820
202 1239 B 6 H CC 0.000000 0.000000 55.530000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8810
202 1239 B 7 H 2 0.000000 0.000000 56.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8830
202 1239 B 7 H 3 0.000000 0.000000 58.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8840
202 1239 B 7 H 4 0.000000 0.000000 59.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8850
202 1239 B 7 H 5 0.000000 0.000000 61.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8860
202 1239 B 7 H 6 0.000000 0.000000 62.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8870
202 1239 B 7 H 7 0.000000 0.000000 64.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8880
202 1239 B 8 H 1 0.000000 0.000000 64.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8900
202 1239 B 7 H CC 0.000000 0.000000 64.860000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8890
202 1239 B 8 H 2 0.000000 0.000000 66.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8910
202 1239 B 8 H 3 0.000000 0.000000 67.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8920
202 1239 B 8 H 4 0.000000 0.000000 69.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8930
202 1239 B 8 H 5 0.000000 0.000000 70.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8940
202 1239 B 8 H 6 0.000000 0.000000 72.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8950
202 1239 B 8 H 7 0.000000 0.000000 73.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8960
202 1239 B 9 H 1 0.000000 0.000000 74.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8980
202 1239 B 8 H CC 0.000000 0.000000 74.540000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8970
202 1239 B 9 H 2 0.000000 0.000000 75.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=8990
202 1239 B 9 H 3 0.000000 0.000000 77.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9000
202 1239 B 9 H 4 0.000000 0.000000 78.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9010
202 1239 B 9 H 5 0.000000 0.000000 80.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9020
