HOLE:	763B
LEG:	122
TOP:	334.061005
BOTTOM:	574.853027
DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
334.0610	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
334.2134	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
334.3658	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
334.5182	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
334.6706	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
334.8230	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
334.9754	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
335.1278	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
335.2802	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
335.4326	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
335.5850	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
335.7374	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
335.8898	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
336.0422	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
336.1946	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
336.3470	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
336.4994	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
336.6518	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
336.8042	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
336.9566	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
337.1090	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
337.2614	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
337.4138	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
337.5662	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
337.7186	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
337.8710	2.7477	2.5013	0.3589	0.0278	0.0747	8.1125	2.5618	0.5255	0.0657	0.1314
